"Fleet_segment";"Species";"Year";"Revenues";"Landing";"price";"price_Mod1";"price_Mod2";"price_Mod3";"price_Mod4";"price_Mod5"
"ITA_18_PGP_0012";"HKE1718";2016;45035.74;5183.8;8.68778502257032;NA;NA;48.7524076556237;NA;NA
"ITA_18_PGP_0012";"HKE1718";2017;296037.48;33917.73;8.72810415083792;-0.772667174780718;0.889178593127111;1.19324867815441;NA;NA
"ITA_18_PGP_0012";"HKE1718";2018;115450.49;14497.63;7.96340436333387;23.7563727691746;24.4819827623697;14.6460265015592;NA;NA
"ITA_18_PGP_0012";"HKE1718";2019;325513.4679;5791.686286;56.2035738515137;23.3500578378752;24.2468600564674;45.0721872294474;NA;NA
"ITA_18_PGP_0012";"HKE1718";2020;206604.22;2170;95.2093179723502;176.776445907488;184.977854215645;71.9442269330604;NA;NA
"SVN_17_DTS_1218";"HKE1718";2013;5672.34;711.65;7.97068783812267;NA;NA;7.74464195976371;6.75361044778336;7.97068783812267
"SVN_17_DTS_1218";"HKE1718";2014;4340.2;584.19;7.42943220527568;8.09472832598342;8.1093155845709;7.98794074841198;6.75361044778336;9.28208890948013
"SVN_17_DTS_1218";"HKE1718";2015;7195.6;1291.3;5.57236893053512;7.1392549814805;6.93202568863633;6.72836969254495;6.75361044778336;5.03260587225419
"SVN_17_DTS_1218";"HKE1718";2016;1941.26;323.5;6.00080370942813;6.7614160471324;6.2886957541331;8.50961548922817;6.75361044778336;14.6467970396074
"SVN_17_DTS_1218";"HKE1718";2017;2138.9;409.72;5.22039441569853;5.91073412797214;5.8782015874544;8.33341261777496;6.75361044778336;12.2053282543286
"SVN_17_DTS_1218";"HKE1718";2018;10643.35;1805.65;5.8944701354083;4.93253445998522;4.58591912967542;5.93882543920085;6.75361044778336;3.88524792965112
"SVN_17_DTS_1218";"HKE1718";2019;22350.24;3600;6.2084;5.68491548689128;5.54962574586093;3.84226441450983;6.75361044778336;2.28109959605374
"SVN_17_DTS_1218";"HKE1718";2020;5265.03;571.9999999;9.2045979037071;8.55256081285646;7.29083862481833;8.01160603165583;6.75361044778336;9.4343858142657
"ITA_18_DTS_1218_OTB_DWS_MDD";"HKE1718";2014;39122.72;5539.3409;7.06270307357325;NA;NA;5.3255753770187;6.47539850644711;7.06270307357325
"ITA_18_DTS_1218_OTB_DWS_MDD";"HKE1718";2015;68604.78;6713.2007;10.219384622301;6.91997104139202;6.86982196138836;5.32181621580428;6.47539850644711;5.65504564259939
"ITA_18_DTS_1218_OTB_DWS_MDD";"HKE1718";2016;56759.08;6473.2507;8.76824993044067;10.263165753068;10.2731123098301;5.32258441434481;6.47539850644711;5.89816810347762
"ITA_18_DTS_1218_OTB_DWS_MDD";"HKE1718";2017;385683.45;96716.32;3.98778044904934;7.82268595706007;5.9391499747809;5.04135319488397;6.47539850644711;0.258553104311576
"ITA_18_DTS_1218_OTB_DWS_MDD";"HKE1718";2018;310061.29;57847.36;5.35999032626554;4.29746141915792;4.29426910562585;5.16061423183846;6.47539850644711;0.468488909911202
"ITA_18_DTS_1218_OTB_DWS_MDD";"HKE1718";2019;1051908.452;212464.0236;4.95099562823115;4.90917486344309;4.44391835669034;4.70228304491843;6.47539850644711;0.104057806240801
"ITA_18_DTS_1218_OTB_DWS_MDD";"HKE1718";2020;132627.3;24821;5.34335038878369;9.27682706825419;6.74574359337738;5.26416294837668;6.47539850644711;1.24644104548563
